,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1052,1989-04,9,Nacka kommun,Stockholms län,Nacka Värmdö-posten,huvudredaktion,redaktion,Gratistidning,
1053,0,9,Nacka kommun,Stockholms län,Saltsjöbladet,huvudredaktion,redaktion,Gratistidning,
1054,2017-01-01,9,Nacka kommun,Stockholms län,Skärgårdsradion,huvudredaktion,redaktion,Etermedier,
1055,2007-05,9,Nacka kommun,Stockholms län,Västra Sicklaön,huvudredaktion,redaktion,Sajt,
1056,2014-06-25,2020-06-17,Sollentuna kommun,Stockholms län,Mitt i Sollentuna,huvudredaktion,riktad titel,Gratistidning,Mitt i
1057,2020-06-18,9,Sollentuna kommun,Stockholms län,Mitt i Sollentuna,huvudredaktion,riktad titel,Gratistidning,Direktpress
1058,2008-12-01,2014-06-24,Sollentuna kommun,Stockholms län,Mitt i Sollentuna,huvudredaktion,riktad titel,Gratistidning,Stampen
1059,2015-04-01,2019-05-01,Sollentuna kommun,Stockholms län,Sveriges Radio P4 Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1060,2011-08-27,2017-11-03,Sollentuna kommun,Stockholms län,Vi i Sollentuna,huvudredaktion,redaktion,Gratistidning,Direktpress
1061,2019-05-02,2017-11-03,Sollentuna kommun,Stockholms län,Sollentuna Direkt,huvudredaktion,redaktion,Gratistidning,Direktpress
1062,2017-11-04,2019-05-01,Sollentuna kommun,Stockholms län,Vi i Sollentuna,huvudredaktion,riktad titel,Gratistidning,Direktpress
1063,2019-05-02,2020-06-17,Sollentuna kommun,Stockholms län,Sollentuna Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1064,2014-06-25,2020-06-17,Solna kommun,Stockholms län,Mitt i Solna,huvudredaktion,riktad titel,Gratistidning,Mitt i
1065,2020-06-18,9,Solna kommun,Stockholms län,Mitt i Solna,huvudredaktion,riktad titel,Gratistidning,Direktpress
1066,2008-12-01,2014-06-24,Solna kommun,Stockholms län,Mitt i Solna,huvudredaktion,riktad titel,Gratistidning,Stampen
1067,2017-04-01,2019-05-01,Solna kommun,Stockholms län,Vi i Solna,huvudredaktion,riktad titel,Gratistidning,Direktpress
1068,2019-05-02,2020-06-17,Solna kommun,Stockholms län,Solna Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1069,2015-01-17,2017-03-31,Solna kommun,Stockholms län,Vi i Solna,huvudredaktion,redaktion,Gratistidning,Direktpress
1070,2019-05-02,2017-03-31,Solna kommun,Stockholms län,Solna Direkt,huvudredaktion,redaktion,Gratistidning,Direktpress
1071,2014-06-25,2020-06-17,Sundbybergs kommun,Stockholms län,Mitt i Sundbyberg,huvudredaktion,riktad titel,Gratistidning,Mitt i
1072,2020-06-18,9,Sundbybergs kommun,Stockholms län,Mitt i Sundbyberg,huvudredaktion,riktad titel,Gratistidning,Direktpress
1073,2008-12-01,2014-06-24,Sundbybergs kommun,Stockholms län,Mitt i Sundbyberg,huvudredaktion,riktad titel,Gratistidning,Stampen
1074,2013,2019-03-27,Sundbybergs kommun,Stockholms län,Sundbybergsnytt.se,huvudredaktion,redaktion,Sajt,
1075,2015-01-01,2019-05-01,Sundbybergs kommun,Stockholms län,Vi i Sundbyberg,huvudredaktion,riktad titel,Gratistidning,Direktpress
1076,2019-05-02,2020-06-17,Sundbybergs kommun,Stockholms län,Sundbyberg Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1077,2014-06-25,2020-06-17,Österåkers kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Mitt i
1078,2020-06-18,9,Österåkers kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Direktpress
1079,2008-12-01,2014-06-24,Österåkers kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Stampen
1080,0,9,Österåkers kommun,Stockholms län,Mitt Österåker,huvudredaktion,redaktion,Sajt,
1081,1997,9,Österåkers kommun,Stockholms län,Åkersbergakanalen,huvudredaktion,redaktion,Gratistidning,
1082,2014-06-25,2020-06-17,Vaxholms kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Mitt i
1083,2020-06-18,9,Vaxholms kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Direktpress
1084,2008-12-01,2014-06-24,Vaxholms kommun,Stockholms län,Mitt i Södra Roslagen,lokalredaktion,riktad titel,Gratistidning,Stampen
1085,2006,2018-09-01,Vaxholms kommun,Stockholms län,Waxholmslotsen,huvudredaktion,redaktion,Gratistidning,
1086,1997,9,Vaxholms kommun,Stockholms län,Åkersbergakanalen,lokalredaktion,riktad titel,Gratistidning,
1087,2014-06-25,2020-06-17,Tyresö kommun,Stockholms län,Mitt i Tyresö,huvudredaktion,riktad titel,Gratistidning,Mitt i
1088,2020-06-18,9,Tyresö kommun,Stockholms län,Mitt i Tyresö,huvudredaktion,riktad titel,Gratistidning,Direktpress
1089,2008-12-01,2014-06-24,Tyresö kommun,Stockholms län,Mitt i Tyresö,huvudredaktion,riktad titel,Gratistidning,Stampen
1090,1972,9,Tyresö kommun,Stockholms län,Tyresö Nyheter,huvudredaktion,redaktion,Gratistidning,
1091,2010,9,Tyresö kommun,Stockholms län,Vi i Tyresö,huvudredaktion,redaktion,Sajt,Moderaterna
1092,2014-06-25,2020-06-17,Täby kommun,Stockholms län,Mitt i Täby,huvudredaktion,riktad titel,Gratistidning,Mitt i
1093,2020-06-18,9,Täby kommun,Stockholms län,Mitt i Täby,huvudredaktion,riktad titel,Gratistidning,Direktpress
1094,2008-12-01,2014-06-24,Täby kommun,Stockholms län,Mitt i Täby,huvudredaktion,riktad titel,Gratistidning,Stampen
1095,1981-05-11,9,Täby kommun,Stockholms län,Täby Allehanda,huvudredaktion,redaktion,Sajt,
1096,0,2019-05-01,Täby kommun,Stockholms län,Täby Nyheter,huvudredaktion,riktad titel,Gratistidning,Direktpress
1097,2019-05-02,2020-06-17,Täby kommun,Stockholms län,Täby Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
